Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-01-09 12:00:00,138.24,138.93,137.75,138.2,38213.33663,2020-01-09 15:59:59.999,5288147.3971606,19818,19944.36663,2760121.8287619,0
2020-01-09 16:00:00,138.19,138.49,135.3,137.54,86229.7553,2020-01-09 19:59:59.999,11766318.3970304,31224,39807.54985,5431101.443688,0
2020-01-09 20:00:00,137.52,139.33,136.06,137.74,91692.8898,2020-01-09 23:59:59.999,12645407.3381924,31487,47389.48684,6533427.0103881,0
2020-01-10 00:00:00,137.73,137.98,136.32,136.98,31293.60499,2020-01-10 03:59:59.999,4288886.1957134,16687,18227.19115,2498721.6956486,0
2020-01-10 04:00:00,136.99,137.14,135.32,136.63,39397.41753,2020-01-10 07:59:59.999,5368087.7926505,18984,21417.94309,2918846.3626839,0
2020-01-10 08:00:00,136.62,139.03,135.34,138.43,70483.8208,2020-01-10 11:59:59.999,9652092.0269372,28080,36646.33079,5019233.3420979,0
2020-01-10 12:00:00,138.42,143.0,138.05,142.51,99766.17131,2020-01-10 15:59:59.999,13995990.0731172,37883,51420.58184,7215216.9641945,0
2020-01-10 16:00:00,142.53,145.17,140.62,143.42,128205.94818,2020-01-10 19:59:59.999,18300060.5828586,45412,66153.76786,9443286.9264384,0
2020-01-10 20:00:00,143.42,145.0,141.6,144.84,40256.63226,2020-01-10 23:59:59.999,5772408.8914053,20267,18529.5902,2658030.4998393,0
2020-01-11 00:00:00,144.83,145.33,142.8,143.47,60605.83939,2020-01-11 03:59:59.999,8734352.8075162,25699,30118.38727,4343957.8548868,0
2020-01-11 04:00:00,143.47,144.05,142.09,142.93,40379.42314,2020-01-11 07:59:59.999,5776470.5159753,19209,17770.50734,2542953.4849021,0
2020-01-11 08:00:00,142.93,144.0,142.36,142.63,47925.81196,2020-01-11 11:59:59.999,6863024.1204778,22360,27322.65616,3914654.3456638,0
2020-01-11 12:00:00,142.63,143.72,142.1,143.41,35999.3517,2020-01-11 15:59:59.999,5148512.2670672,19004,19949.68364,2854721.8465125,0
2020-01-11 16:00:00,143.41,148.05,142.6,146.29,96688.13102,2020-01-11 19:59:59.999,14109147.5530007,38684,51757.13784,7547144.3367024,0
2020-01-11 20:00:00,146.27,147.65,142.23,142.38,86752.02218,2020-01-11 23:59:59.999,12517853.2977106,31532,42862.74903,6181276.0603844,0
